fold,accuracy,precision,recall,f1,naive_baseline,test_size
1,0.5047967108268616,0.5313243457573354,0.5760963026655203,0.5528052805280528,0.5312928277752398,2189
2,0.5107354956601188,0.5395894428152492,0.6242578456318915,0.5788438851749902,0.5386021014161718,2189
3,0.5203289173138419,0.5424091233071988,0.65098374679213,0.5917573872472783,0.5340338053905893,2189
4,0.5518501598903609,0.5576,0.6195555555555555,0.5869473684210527,0.5139333028780265,2189
5,0.5271813613522156,0.5513698630136986,0.679324894514768,0.6086956521739131,0.5413430790315212,2189
